trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
444,False,"{'a': 0.15, 'e': 0.010381710418545449}",20,4,30.723325095898602,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.15, 'e': 0.010277893314359994}",20,2,27.761624083984337,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.15, 'e': 0.010175114381216394}",30,17,23.435200551641863,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.15, 'e': 0.01007336323740423}",20,9,23.651544064310155,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.15, 'e': 0.009972629605030188}",25,10,27.171726775102343,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.15, 'e': 0.009872903308979886}",20,15,10.366921784089875,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.15, 'e': 0.009774174275890087}",25,14,21.226252930315834,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.15, 'e': 0.009676432533131185}",25,10,25.233658911126305,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.15, 'e': 0.009579668207799874}",25,11,26.3416229255194,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.15, 'e': 0.009483871525721875}",20,16,8.655845106192217,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.15, 'e': 0.009389032810464656}",25,19,10.466538263548518,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.15, 'e': 0.009295142482360009}",25,16,18.603587184712538,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.15, 'e': 0.009202191057536408}",30,19,22.141552921016054,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.15, 'e': 0.009110169146961044}",30,19,17.740775432990166,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
